Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation for IBM PVU,4/3/2019 3:22:59 pm,4/3/2019 3:23:01 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/3/2019 2:52:58 pm,4/3/2019 2:52:59 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 2:22:54 pm,4/3/2019 2:22:55 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 1:22:53 pm,4/3/2019 1:22:54 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 12:52:51 pm,4/3/2019 12:52:52 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 12:22:52 pm,4/3/2019 12:22:53 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 11:52:51 am,4/3/2019 11:52:53 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/3/2019 11:22:47 am,4/3/2019 11:22:48 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 10:52:49 am,4/3/2019 10:52:50 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 10:22:46 am,4/3/2019 10:22:47 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 9:52:43 am,4/3/2019 9:52:44 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 9:22:46 am,4/3/2019 9:22:47 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 8:52:43 am,4/3/2019 8:52:44 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 8:22:40 am,4/3/2019 8:22:41 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 7:52:42 am,4/3/2019 7:52:43 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 7:22:40 am,4/3/2019 7:22:41 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 6:52:37 am,4/3/2019 6:52:38 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 6:22:39 am,4/3/2019 6:22:40 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 5:52:36 am,4/3/2019 5:52:37 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 5:22:33 am,4/3/2019 5:22:34 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 4:52:36 am,4/3/2019 4:52:37 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 4:22:33 am,4/3/2019 4:22:34 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 3:52:30 am,4/3/2019 3:52:31 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 3:22:32 am,4/3/2019 3:22:33 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 2:52:29 am,4/3/2019 2:52:30 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 2:22:27 am,4/3/2019 2:22:28 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 1:52:29 am,4/3/2019 1:52:30 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/3/2019 1:22:26 am,4/3/2019 1:22:28 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/3/2019 12:52:54 am,4/3/2019 12:53:31 am,Completed,0:00:37,
Reconciliation for IBM PVU,4/3/2019 12:22:10 am,4/3/2019 12:22:12 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/2/2019 11:52:08 pm,4/2/2019 11:52:09 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/2/2019 11:22:10 pm,4/2/2019 11:22:11 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/2/2019 10:52:07 pm,4/2/2019 10:52:08 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/2/2019 10:22:04 pm,4/2/2019 10:22:05 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/2/2019 9:52:06 pm,4/2/2019 9:52:07 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/2/2019 9:22:04 pm,4/2/2019 9:22:05 pm,Completed,0:00:01,
