"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Import hardware to staging","PVU Import","4/7/2019 9:01:44 am","4/7/2019 9:01:45 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 8:32:00 am","4/7/2019 8:32:08 am","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","4/7/2019 8:32:07 am","4/7/2019 8:32:08 am","Completed","Partial export completed with no changes","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 8:31:51 am","4/7/2019 8:31:52 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 8:31:51 am","4/7/2019 8:31:52 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 8:31:43 am","4/7/2019 8:31:51 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 8:31:49 am","4/7/2019 8:31:50 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 8:30:35 am","4/7/2019 8:31:47 am","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 8:30:42 am","4/7/2019 8:31:46 am","Completed","Export completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 8:25:55 am","4/7/2019 8:30:23 am","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 8:26:01 am","4/7/2019 8:30:23 am","Completed","Export completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 8:12:13 am","4/7/2019 8:12:54 am","Completed","Partial export of applications, licenses summary completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 8:12:20 am","4/7/2019 8:12:54 am","Completed","Partial export of applications, licenses summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 8:01:40 am","4/7/2019 8:01:41 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 8:01:40 am","4/7/2019 8:01:41 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 8:01:32 am","4/7/2019 8:01:39 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 8:01:38 am","4/7/2019 8:01:39 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 7:57:02 am","4/7/2019 7:58:41 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 7:57:08 am","4/7/2019 7:58:41 am","Completed","Partial export of applications, licenses, installations, discovery, inventory summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 7:42:00 am","4/7/2019 7:43:27 am","Completed","Partial export of applications, licenses, installations summary completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 7:42:07 am","4/7/2019 7:43:27 am","Completed","Partial export of applications, licenses, installations summary completed successfully","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 7:31:37 am","4/7/2019 7:31:38 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 7:31:37 am","4/7/2019 7:31:38 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 7:31:30 am","4/7/2019 7:31:37 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 7:31:36 am","4/7/2019 7:31:37 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 7:01:38 am","4/7/2019 7:01:39 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 7:01:38 am","4/7/2019 7:01:39 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 7:01:27 am","4/7/2019 7:01:38 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 7:01:36 am","4/7/2019 7:01:38 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 6:31:43 am","4/7/2019 6:31:46 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 6:31:43 am","4/7/2019 6:31:46 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 6:31:19 am","4/7/2019 6:31:42 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 6:31:28 am","4/7/2019 6:31:38 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 6:01:36 am","4/7/2019 6:01:40 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 6:01:36 am","4/7/2019 6:01:40 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 6:01:16 am","4/7/2019 6:01:35 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 6:01:26 am","4/7/2019 6:01:34 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 5:31:16 am","4/7/2019 5:31:17 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 5:31:16 am","4/7/2019 5:31:17 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 5:31:09 am","4/7/2019 5:31:16 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 5:31:14 am","4/7/2019 5:31:15 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 5:01:02 am","4/7/2019 5:01:04 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 5:01:03 am","4/7/2019 5:01:04 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 5:00:55 am","4/7/2019 5:01:02 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 5:01:01 am","4/7/2019 5:01:02 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 4:30:56 am","4/7/2019 4:30:57 am","Completed","License reconcile completed","No"
